season,episode,rating
1,1,8.4
1,2,8.9
1,3,8.6
1,4,8.3
1,5,8
1,6,9.4
1,7,8.6
1,8,8.6
1,9,9.4
1,10,8.6
2,1,8.2
2,2,8.4
2,3,8.2
2,4,8.9
2,5,8
2,6,8.4
2,7,8.3
2,8,8.3
2,9,9.3
2,10,9
3,1,8.1
3,2,9
3,3,8.4
3,4,8.9
3,5,9.7
3,6,8.4
3,7,8.2
3,8,8.5
3,9,8.8
3,10,9.2
4,1,8.2
4,2,8.8
4,3,8.4
4,4,8.2
4,5,8.5
4,6,8.5
4,7,8.3
4,8,8.8
4,9,9.1
4,10,9.6
5,1,8.7
5,2,8.7
5,3,9
5,4,8.5
5,5,8.5
5,6,9.3
5,7,9.1
5,8,9.7
5,9,9.7
5,10,9.4
6,1,8.8
6,2,9.1
6,3,9.7
6,4,8.6
6,5,8.1
6,6,8.2
6,7,9.9
6,8,9.8
6,9,9.4
6,10,8.5
6,11,9
6,12,9.4
6,13,9.8
