season,episode,rating
1,1,9.1
1,2,8.6
1,3,8.7
1,4,8.2
1,5,8.3
1,6,9.3
1,7,8.8
2,1,8.6
2,2,9.3
2,3,8.3
2,4,8.2
2,5,8.2
2,6,8.8
2,7,8.6
2,8,9.2
2,9,9.2
2,10,8.4
2,11,8.9
2,12,9.3
2,13,9.2
3,1,8.5
3,2,8.6
3,3,8.4
3,4,8.1
3,5,8.5
3,6,9.3
3,7,9.6
3,8,8.7
3,9,8.4
3,10,8
3,11,8.4
3,12,9.5
3,13,9.7
4,1,9.2
4,2,8.2
4,3,8
4,4,8.5
4,5,8.6
4,6,8.4
4,7,8.8
4,8,9.3
4,9,8.9
4,10,9.6
4,11,9.7
4,12,9.5
4,13,9.9
5,1,9.2
5,2,8.8
5,3,8.8
5,4,8.8
5,5,9.7
5,6,9
5,7,9.6
5,8,9.6
5,9,9.4
5,10,9.2
5,11,9.6
5,12,9.2
5,13,9.8
5,14,10
5,15,9.7
5,16,9.9
