season,episode,rating
1,1,8.2
1,2,8.1
1,3,8.6
1,4,8.1
1,5,8.1
1,6,8.7
1,7,7.9
1,8,8
1,9,8.6
1,10,9
2,1,8.8
2,2,8.2
2,3,7.9
2,4,7.9
2,5,8
2,6,8.8
2,7,8.2
2,8,8.7
2,9,8.9
2,10,9
2,11,8.3
2,12,8.3
2,13,8.5
3,1,8.3
3,2,7.6
3,3,8
3,4,7.9
3,5,8.4
3,6,8.1
3,7,7.3
3,8,7.7
3,9,6.4
3,10,8.1
3,11,9.2
3,12,8.2
3,13,9.3
4,1,7.8
4,2,7.9
4,3,8.4
4,4,7.7
4,5,7.9
4,6,7.6
4,7,8.4
4,8,8.3
4,9,8
4,10,8.6
5,1,7.1
5,2,8.1
5,3,7.3
5,4,7.1
5,5,7.2
5,6,8.5
5,7,8.6
5,8,8
5,9,7.6
5,10,8.3
6,1,7.9
6,2,7.2
6,3,7.3
6,4,6.7
6,5,7.5
6,6,7.8
6,7,7.9
6,8,8.4
6,9,9
6,10,5.7
