season,episode,rating
1,1,8.5
1,2,8.5
1,3,8.2
1,4,8.1
1,5,8.4
1,6,8.5
1,7,8
1,8,7.6
1,9,8.4
1,10,8.6
1,11,9
1,12,8.5
1,13,8.8
2,1,9.4
2,2,8.3
2,3,8.4
2,4,9
2,5,8.2
2,6,8.2
2,7,8.3
2,8,8.5
2,9,8.8
2,10,8.2
2,11,8.6
2,12,8.8
2,13,9.5
3,1,8
3,2,8.3
3,3,8.5
3,4,8.1
3,5,8.1
3,6,9
3,7,8.1
3,8,8.1
3,9,8.2
3,10,8.1
3,11,9
3,12,8.7
3,13,8.9
4,1,7.9
4,2,8.1
4,3,8.7
4,4,9.3
4,5,8.4
4,6,8.5
4,7,8.4
4,8,8
4,9,8.7
4,10,9.2
4,11,8.2
4,12,8.7
4,13,9.4
5,1,8.2
5,2,7.9
5,3,8
5,4,8.5
5,5,7.9
5,6,7.7
5,7,8.2
5,8,7.9
5,9,7.8
5,10,8.2
5,11,8.2
5,12,9
5,13,8.3
6,1,4.5
6,2,4.5
6,3,4.5
6,4,4.5
6,5,4.7
6,6,4.5
6,7,4.1
6,8,2.6
