season,episode,rating
1,1,8.1
1,2,7.5
1,3,7.6
1,4,7.9
1,5,8.1
1,6,7.8
1,7,8
1,8,8.3
1,9,8.2
1,10,8.2
1,11,8.1
1,12,9
1,13,9
2,1,7.6
2,2,7.8
2,3,7.8
2,4,8.1
2,5,8.3
2,6,7.9
2,7,8.4
2,8,8.3
2,9,8.5
2,10,7.9
2,11,8.3
2,12,8.5
2,13,8.9
3,1,8.2
3,2,7.7
3,3,8.1
3,4,8
3,5,8
3,6,9.1
3,7,8.4
3,8,7.9
3,9,8.1
3,10,8.3
3,11,9.2
3,12,8.9
3,13,9.7
4,1,8.5
4,2,8.2
4,3,8.7
4,4,8.2
4,5,8.6
4,6,8.6
4,7,9.7
4,8,8.6
4,9,8.8
4,10,8.7
4,11,8.3
4,12,8.8
4,13,9
5,1,8.5
5,2,8.5
5,3,7.8
5,4,8.6
5,5,9
5,6,9.1
5,7,8.7
5,8,8.2
5,9,8
5,10,8.2
5,11,9.4
5,12,9.4
5,13,8.6
6,1,7.5
6,2,7.6
6,3,7.8
6,4,8
6,5,8.2
6,6,8.8
6,7,7.9
6,8,8.7
6,9,8.3
6,10,8.1
6,11,8.7
6,12,8.5
6,13,9.1
7,1,7.9
7,2,8.3
7,3,8.5
7,4,8.5
7,5,8.5
7,6,8.9
7,7,9.5
7,8,8.1
7,9,7.8
7,10,8.2
7,11,8.9
7,12,9
7,13,9.1
7,14,9.3
