episode,season,rating
1,1,8.8
2,1,8.4
3,1,8.4
4,1,8.6
5,1,8.3
6,1,9
7,1,8.5
8,1,8.9
9,1,8.6
10,1,8.8
1,2,8.3
2,2,8.5
3,2,8.5
4,2,9.3
5,2,8.5
6,2,9.1
7,2,8.6
8,2,8.7
9,2,8.5
10,2,9.4
1,3,7.8
2,3,7.9
3,3,8
4,3,8.9
5,3,8.4
6,3,8.7
7,3,8.9
8,3,8.7
9,3,9.3
10,3,9.1
1,4,8
2,4,8.1
3,4,8.1
4,4,0
5,4,8.9
6,4,8.4
7,4,8.2
8,4,8.3
9,4,8.9
10,4,9
1,5,8.1
2,5,7.8
3,5,7.8
4,5,7.9
5,5,8.3
6,5,7.7
7,5,8
8,5,8.6
9,5,8.7
10,5,9
1,6,7.6
2,6,7.4
3,6,8.5
4,6,8.2
5,6,7.8
6,6,8
7,6,7.7
8,6,7.5
9,6,8.1
10,6,7.9
