season,episode,rating
1,1,8.2
1,2,8
1,3,7.9
1,4,8.1
1,5,7.9
1,6,8.6
1,7,7.9
1,8,7.9
1,9,8.4
1,10,8.3
1,11,7.9
1,12,8.2
1,13,9
2,1,8.3
2,2,7.8
2,3,7.8
2,4,8
2,5,8.2
2,6,7.9
2,7,7.8
2,8,8
2,9,8.5
2,10,7.9
2,11,8
2,12,8.1
2,13,8.9
3,1,8.1
3,2,7.8
3,3,8.3
3,4,7.9
3,5,8.1
3,6,7.9
3,7,8.4
3,8,8
3,9,8.8
3,10,9
3,11,7.9
3,12,8.5
3,13,8.7
4,1,8.1
4,2,8.2
4,3,8.2
4,4,8.8
4,5,8.1
4,6,8.5
4,7,8.8
4,8,8.7
4,9,7.9
4,10,8.2
4,11,8.4
4,12,8.2
4,13,8.2
5,1,8
5,2,7.7
5,3,7.8
5,4,7.6
5,5,8.1
5,6,7.7
5,7,7.7
5,8,7.5
5,9,7.8
5,10,8.1
5,11,8.6
5,12,8
5,13,8.1
6,1,8.6
6,2,8.1
6,3,8.1
6,4,8
6,5,9
6,6,8.6
6,7,9.2
6,8,9
6,9,9.4
6,10,9.7
