season,episode,rating
1,1,8.2
1,2,8.9
1,3,8.1
1,4,8.6
1,5,8.5
1,6,8
1,7,8.7
1,8,8.3
1,9,9
1,10,8.5
2,1,8.1
2,2,8.1
2,3,8.3
2,4,8.5
2,5,8.9
2,6,9.1
2,7,8.1
2,8,9.1
2,9,8.7
2,10,8.3
3,1,7.9
3,2,8.4
3,3,9.3
3,4,8.6
3,5,8
3,6,9.1
3,7,8.1
3,8,8.1
3,9,8
3,10,8.2
4,1,8.4
4,2,8.6
4,3,8.7
4,4,8.2
4,5,8.5
4,6,8.8
4,7,8.2
4,8,8.5
4,9,8.2
4,10,8.7
5,1,7.4
5,2,7.6
5,3,8.4
5,4,7.9
5,5,7.6
5,6,7.9
5,7,7.5
5,8,8.2
5,9,7.8
5,10,7.3
6,1,7.8
6,2,7.8
6,3,8.1
6,4,8.2
6,5,7.6
6,6,7.4
6,7,7.4
6,8,8.6
6,9,8
6,10,9
