season,episode,rating
1,1,8.4
1,2,8.2
1,3,8.5
1,4,8.5
1,5,8.9
1,6,8.4
1,7,8.3
1,8,8.5
1,9,8.5
1,10,7.7
1,11,8.8
1,12,9.1
1,13,9.2
2,1,8.2
2,2,8
2,3,8.3
2,4,8.5
2,5,8.4
2,6,8.6
2,7,8.7
2,8,8.8
2,9,8.8
2,10,8.4
2,11,8.1
2,12,9.3
2,13,9.4
3,1,8.6
3,2,8.6
3,3,8.4
3,4,9.1
3,5,8.6
3,6,8.7
3,7,8.3
3,8,8.3
3,9,8
3,10,8.5
3,11,9.7
3,12,9.2
3,13,9.1
4,1,8.2
4,2,8.3
4,3,7.7
4,4,8.4
4,5,8
4,6,8.4
4,7,8.1
4,8,8.1
4,9,9.3
4,10,8.9
4,11,8
4,12,8.2
4,13,9.3
5,1,8.6
5,2,8.3
5,3,8.6
5,4,8.5
5,5,9.3
5,6,8.1
5,7,7.9
5,8,8.7
5,9,8.8
5,10,8.6
5,11,8.6
5,12,9.7
5,13,9.3
6,1,9.2
6,2,8.7
6,3,8.8
6,4,8.4
6,5,8.8
6,6,8.5
6,7,8.1
6,8,8.3
6,9,8.3
6,10,8
6,11,8.7
6,12,8.2
6,13,9.1
6,14,8.8
6,15,8.5
6,16,7.8
6,17,8.9
6,18,9.2
6,19,9.3
6,20,9.6
6,21,9.4
