season,episode,rating
1,1,7.8
1,2,8.2
1,3,8.1
1,4,8.2
1,5,8.2
1,6,8.5
1,7,8.4
1,8,8.5
1,9,8.7
1,10,9.2
1,11,8.8
1,12,9.1
1,13,9
2,1,7.7
2,2,8.1
2,3,8
2,4,8
2,5,8.1
2,6,8.8
2,7,8.2
2,8,8.3
2,9,8.5
2,10,9
2,11,9.2
2,12,9
3,1,8
3,2,8.3
3,3,8.3
3,4,8.3
3,5,8.5
3,6,8.6
3,7,8.5
3,8,8.9
3,9,8.7
3,10,8.7
3,11,9.6
3,12,9.3
4,1,8.3
4,2,8.4
4,3,8.6
4,4,8.3
4,5,8.5
4,6,8.7
4,7,8.4
4,8,8.5
4,9,8.5
4,10,8.8
4,11,8.9
4,12,9.3
4,13,9.5
5,1,8
5,2,8.1
5,3,8.5
5,4,8.8
5,5,8.6
5,6,8.3
5,7,8.4
5,8,8.9
5,9,9.3
5,10,9.6
