season,episode,rating
1,1,7.6
1,2,7.8
1,3,7.9
1,4,8.2
1,5,8.2
1,6,8.2
1,7,8.4
1,8,7.6
1,9,7.7
2,1,8.5
2,2,8.1
2,3,8.5
2,4,8.4
2,5,8.4
2,6,8.5
2,7,8.5
2,8,7.9
2,9,8.6
2,10,9.2
3,1,8.6
3,2,8
3,3,8.1
3,4,8
3,5,8.3
3,6,8.7
3,7,8
3,8,9.2
3,9,8.7
3,10,9.1
4,1,8.4
4,2,8.2
4,3,8
4,4,8
4,5,7.7
4,6,7.9
4,7,8.3
4,8,8.1
4,9,8
4,10,9.1
4,11,8
4,12,7.9
4,13,8.2
4,14,8.8
4,15,9.6
4,16,8.5
4,17,8
4,18,8.8
4,19,8.9
4,20,8.8
5,1,7.9
5,2,7.9
5,3,8.5
5,4,7.8
5,5,8.1
5,6,7.7
5,7,7.5
5,8,8.5
5,9,7.4
5,10,7.3
5,11,7.5
5,12,7.6
5,13,7.1
5,14,7.1
5,15,8.5
5,16,7.6
5,17,6.9
5,18,7.5
5,19,7.8
5,20,8.6
6,1,7.4
6,2,7.4
6,3,7.3
6,4,7.4
6,5,6.8
6,6,8.2
6,7,8.3
6,8,7.5
6,9,7.2
6,10,7.6
6,11,8.9
6,12,7.1
6,13,7.2
6,14,7
6,15,7.3
6,16,7.1
6,17,7.3
6,18,7.5
6,19,8.4
6,20,7.8
